# slot|name|inspiration|height|relief|surface id:data|under id:data|tree|density|landmark|atmosphere|water RGB
TAIGA_COLD_HILLS|Gilded Hush|Fallout: New Vegas - Dead Money|84|17|159:4|1:0|dead|2|casino|rust|806b39
REDWOOD_TAIGA|Carousel Wastes|Fallout 4: Nuka-World; Fallout 76|72|8|159:1|3:0|scrub|3|carnival|whisper|8c7052
REDWOOD_TAIGA_HILLS|Hollow Crown Borough|Dark Souls; Dark Souls Remastered|83|23|1:0|1:0|dead|3|keep|ash|62675a
EXTREME_HILLS_WITH_TREES|Rootbound Sanctuary|Dark Souls: Artorias of the Abyss|80|22|3:2|3:0|ancient|14|shrine|mist|4c6756
SAVANNA|Leechwater Depths|Dark Souls|57|8|82:0|3:0|swamp|9|stilt|spores|47532e
SAVANNA_ROCK|Cinderlake Shelf|Dark Souls|89|29|159:15|1:0|petrified|5|kiln|ash|6d5344
MESA|Forgotten Monarch Shore|Dark Souls II; Scholar of the First Sin|67|19|12:0|1:0|scrub|4|keep|wind|739082
MESA_ROCK|Blackgutter Chasm|Dark Souls II|75|35|159:15|1:0|dead|2|stilt|whisper|3f493d
MESA_CLEAR_ROCK|Frostcrown Ramparts|Dark Souls II: Crown of the Ivory King|100|30|80:0|174:0|frost|5|keep|snow|a2b7c7
VOID|Ringfall Cinders|Dark Souls III: The Ringed City|91|26|159:8|1:0|petrified|3|monument|ash|746661
MUTATED_PLAINS|Cathedral of the Last Ember|Dark Souls III; Ashes of Ariandel|90|19|1:0|1:0|dead|4|cathedral|ash|786c68
MUTATED_DESERT|Drowned Oath Fen|Dark Souls III; Dark Souls II: Sunken King and Iron King|60|10|3:2|82:0|swamp|10|shrine|mist|455e48
MUTATED_EXTREME_HILLS|Cabin of the Listening Pines|The Evil Dead (1984)|77|15|3:2|3:0|pine|12|cabin|whisper|5b6d50
MUTATED_FOREST|Bloodroot Timberland|Evil Dead: Hail to the King|80|18|3:1|159:14|red|12|cabin|spores|713c32
MUTATED_TAIGA|Boomtown After Midnight|Evil Dead: A Fistful of Boomstick|72|6|159:7|1:0|dead|2|town|rust|695644
MUTATED_SWAMPLAND|Deadward Asylum|Evil Dead: Regeneration|79|14|159:8|1:0|dead|6|hospital|whisper|58665d
MUTATED_ICE_FLATS|Bastion of the Unburied|Army of Darkness: Defense|93|25|12:1|179:0|none|0|keep|dust|826b49
MUTATED_JUNGLE|Possessed Orchard|Evil Dead: The Game (2011 mobile)|75|11|3:2|3:0|red|11|cabin|whisper|5e5738
MUTATED_JUNGLE_EDGE|Endless Night Boulevard|Evil Dead: Endless Nightmare|71|7|159:15|1:0|dead|3|town|mist|51584f
MUTATED_BIRCH_FOREST|Mirrorward Thicket|Evil Dead: Virtual Nightmare|77|20|3:1|159:8|ancient|10|hospital|whisper|5a655f
MUTATED_BIRCH_FOREST_HILLS|Kandarian Hunting Grounds|Evil Dead: The Game (2022)|83|24|3:2|3:0|pine|13|keep|wind|556542
MUTATED_ROOFED_FOREST|Grinning Hollow|RetroRealms: Ash vs Evil Dead|78|15|159:12|3:0|red|10|carnival|rust|733f3c
MUTATED_TAIGA_COLD|I - Limbo: Mourning Fields|Dante's Inferno - Limbo|74|10|3:1|1:0|dead|5|monument|mist|6d7775
MUTATED_REDWOOD_TAIGA|II - Lust: The Unceasing Gale|Dante's Inferno - Lust|97|35|159:8|1:0|petrified|2|arch|wind|857883
MUTATED_REDWOOD_TAIGA_HILLS|III - Gluttony: Carrion Slough|Dante's Inferno - Gluttony|59|8|82:0|3:0|swamp|4|pump|rain|514a38
MUTATED_EXTREME_HILLS_WITH_TREES|IV - Greed: The Burdened Quarry|Dante's Inferno - Greed|86|27|159:4|1:0|none|0|mine|dust|8c7844
MUTATED_SAVANNA|V - Wrath: Styx Blackwater|Dante's Inferno - Wrath|56|7|159:15|82:0|dead|4|harbor|rain|302e29
MUTATED_SAVANNA_ROCK|VI - Heresy: Sepulcher of Embers|Dante's Inferno - Heresy|83|14|159:14|87:0|none|0|tomb|ash|934a38
MUTATED_MESA|VII - Violence: Thornblood Reach|Dante's Inferno - Violence|80|23|159:14|1:0|thorn|8|shrine|rust|87332f
MUTATED_MESA_ROCK|VIII - Fraud: Malebolge Trenches|Dante's Inferno - Fraud|85|33|159:12|1:0|none|0|trench|whisper|70522e
MUTATED_MESA_CLEAR_ROCK|IX - Treachery: Cocytus|Dante's Inferno - Treachery|65|9|174:0|79:0|frost|2|tomb|snow|a3bccc
